Feature,Importance
topo_wetness,52.35618416654437
precipitation,45.36777194605711
recharge_potential,44.35846654835201
spatial_lag_yield,44.03998811113386
geo_dist_1,36.70814840991189
sbgi,35.68347362070142
sbgwi_precip,32.355471843278195
elevation,26.692039996331506
slope,25.015529006525313
geo_dist_2,23.68235589238864
slope_precip,20.685585198012326
district_log_median,17.08907252633855
sbgwi_log,17.018588315510176
soil_moisture,13.350341402113454
sbgwi_geo_mult,11.68443027542714
log_nearest_dist,11.364074011404739
geo_dist_0,11.351069396628784
sbgi_geology,8.034038643456183
sbgwi_topo,7.019972985350405
elev_precip,6.033457568026659
sbgwi_grace,6.017198408114736
grace_anomaly,2.003149005969022
elevation_squared,1.7017060417485261
district_log_iqr,0.34496516539612626
geo_cluster,0.3434345457694629
birimian_proxy,0.03134216265836169
high_terrain,0.0008066075397634353
steep_slope,0.0006715488651530283
tarkwaian_proxy,0.0
voltaian_proxy,0.0
