Feature,Importance
precipitation,0.1881783143568416
geo_dist_1,0.17111471301509193
topo_wetness,0.12043247436680139
recharge_potential,0.08274485511903235
sbgi_geology,0.08243481511504247
soil_moisture,0.05091112000110352
elev_precip,0.04526192208650642
geo_dist_0,0.041794357270766636
sbgi,0.04002615235555362
slope_precip,0.03983446017335031
geo_dist_2,0.03874777206514196
slope,0.03641601633218603
elevation_squared,0.02073650615522466
elevation,0.01749330270259445
grace_anomaly,0.011482010832535085
birimian_proxy,0.009132937296273676
geo_cluster,0.0017923542516044022
high_terrain,0.0007649770612691312
steep_slope,0.0007009386506529729
voltaian_proxy,0.0
tarkwaian_proxy,0.0
